,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,class_val
8,"0     0.498121
1     0.498121
2     0.196889
3     0.197611
4     0.794920
        ...   
95   -0.197904
96   -0.166439
97   -0.244583
98   -0.142257
99   -0.159682
Length: 100, dtype: float64","0     0.031305
1     0.031305
2    -3.122323
3    -0.657916
4     0.594167
        ...   
95    0.119293
96    0.165437
97    0.055301
98    0.103590
99    0.176370
Length: 100, dtype: float64","0    -0.358509
1    -0.358509
2     0.258171
3    -0.375935
4     0.596180
        ...   
95    0.074502
96    0.068511
97    0.048212
98    0.107599
99    0.126590
Length: 100, dtype: float64","0     0.047941
1     0.047941
2     0.143822
3     0.383526
4     0.484734
        ...   
95   -0.039951
96   -0.023970
97    0.000000
98    0.015980
99    0.031960
Length: 100, dtype: float64","0    -0.119852
1    -0.119852
2     0.015980
3     0.109198
4    -0.018644
        ...   
95    0.000000
96   -0.002663
97    0.002663
98    0.000000
99   -0.005327
Length: 100, dtype: float64","0     0.005327
1     0.005327
2     0.010653
3     0.783032
4     0.966804
        ...   
95   -0.007990
96   -0.010653
97   -0.034624
98   -0.005327
99    0.000000
Length: 100, dtype: float64",standing
9,"0     0.126160
1     0.126160
2     1.771871
3    -0.385448
4    -0.449193
        ...   
95   -0.189435
96   -0.311585
97   -0.215870
98   -0.207062
99   -0.235818
Length: 100, dtype: float64","0     0.102733
1     0.102733
2    -3.798484
3    -4.914174
4    -4.127277
        ...   
95    0.413234
96    0.783459
97    0.800464
98    0.531724
99    0.038644
Length: 100, dtype: float64","0     0.308964
1     0.308964
2     0.141369
3    -0.980509
4    -0.153962
        ...   
95   -0.126449
96   -0.207921
97   -0.101693
98   -0.072515
99    0.168858
Length: 100, dtype: float64","0     0.002663
1     0.002663
2    -1.427568
3    -2.000193
4    -0.130505
        ...   
95    0.053267
96    0.023970
97   -0.050604
98   -0.133169
99   -0.087891
Length: 100, dtype: float64","0     0.000000
1     0.000000
2    -0.167792
3    -0.255684
4     0.015980
        ...   
95    0.000000
96   -0.055931
97   -0.058594
98   -0.069248
99   -0.058594
Length: 100, dtype: float64","0    -0.007990
1    -0.007990
2    -1.643301
3    -0.402169
4    -0.274327
        ...   
95    0.261010
96    0.146486
97   -0.050604
98   -0.186436
99   -0.298298
Length: 100, dtype: float64",standing
10,"0      0.206148
1      0.206148
2      6.534367
3      1.131917
4     -8.367996
        ...    
95    11.878017
96     7.058106
97     7.058106
98    10.041190
99    10.041190
Length: 100, dtype: float64","0    -0.658294
1    -0.658294
2     4.597327
3    -4.033093
4    -7.513152
        ...   
95   -3.866992
96    8.879556
97    8.879556
98   -6.685540
99   -6.685540
Length: 100, dtype: float64","0     0.469612
1     0.469612
2    -2.723661
3     0.993438
4     3.346872
        ...   
95   -3.664043
96   -5.190697
97   -5.190697
98    0.593610
99    0.593610
Length: 100, dtype: float64","0    -0.106535
1    -0.106535
2    -0.439456
3     0.647200
4    -0.689814
        ...   
95    2.490253
96   -0.058594
97   -0.058594
98   -0.274327
99   -0.274327
Length: 100, dtype: float64","0     0.306288
1     0.306288
2     1.717875
3     0.074574
4    -0.596595
        ...   
95   -0.500714
96    0.231713
97    0.231713
98    0.053267
99    0.053267
Length: 100, dtype: float64","0     0.950824
1     0.950824
2    -1.041379
3    -3.315899
4    -2.796541
        ...   
95    5.055081
96    0.948161
97    0.948161
98   -5.920677
99   -5.920677
Length: 100, dtype: float64",running
11,"0     -0.193013
1     -0.193013
2      2.403985
3      3.944837
4      6.696989
        ...    
95    13.687557
96    13.687557
97   -12.056174
98   -12.056174
99    -8.033739
Length: 100, dtype: float64","0     -0.106266
1     -0.106266
2      0.523920
3      2.012546
4     -1.386553
        ...    
95   -11.867113
96   -11.867113
97   -10.852823
98   -10.852823
99    -6.678863
Length: 100, dtype: float64","0    -0.636563
1    -0.636563
2    -1.166243
3    -0.076330
4    -1.507628
        ...   
95   -3.376152
96   -3.376152
97   -0.860913
98   -0.860913
99   -2.176181
Length: 100, dtype: float64","0    -0.087891
1    -0.087891
2    -2.716640
3    -3.257305
4    -2.226579
        ...   
95   -1.510132
96   -0.700467
97   -1.374300
98   -1.374300
99    0.809665
Length: 100, dtype: float64","0     0.010653
1     0.010653
2     1.297062
3     2.026827
4     2.407689
        ...   
95    4.525070
96    0.993438
97    0.261010
98    0.261010
99   -1.544756
Length: 100, dtype: float64","0     0.205080
1     0.205080
2    -0.609912
3    -0.801675
4    -2.042807
        ...   
95   -7.606592
96   -5.273478
97    0.013317
98    0.013317
99    3.393137
Length: 100, dtype: float64",running
12,"0      0.841063
1      0.841063
2     -7.980062
3     -8.026263
4      9.677279
        ...    
95     7.771154
96    15.015295
97     4.801497
98     4.801497
99   -13.218517
Length: 100, dtype: float64","0     -0.711477
1     -0.711477
2    -10.171927
3     -7.447443
4    -11.304486
        ...    
95    12.036890
96    -6.385949
97   -14.644379
98   -14.644379
99   -12.800244
Length: 100, dtype: float64","0    -0.070385
1    -0.070385
2     3.868311
3    -2.457052
4    -5.931294
        ...   
95   -0.432196
96   -3.484292
97    0.162580
98    0.162580
99    2.070448
Length: 100, dtype: float64","0     0.314278
1     0.314278
2     1.483499
3     0.125179
4     3.307909
        ...   
95   -0.109198
96   -2.343768
97   -1.057359
98   -1.057359
99   -1.030725
Length: 100, dtype: float64","0     0.055931
1     0.055931
2    -0.559308
3     0.679160
4    -1.518122
        ...   
95    0.189099
96    2.367738
97    0.596595
98    0.596595
99   -0.314278
Length: 100, dtype: float64","0     0.926854
1     0.926854
2    -1.297062
3     2.439649
4     6.759640
        ...   
95   -3.489018
96   -6.503956
97   -5.377349
98   -5.377349
99   -0.948161
Length: 100, dtype: float64",running
13,"0      2.580342
1      2.580342
2     -7.268912
3     -2.151018
4     10.542688
        ...    
95     1.129924
96   -14.334705
97   -14.334705
98    -1.885959
99    16.109348
Length: 100, dtype: float64","0     -0.850954
1     -0.850954
2     -6.062234
3     -7.335191
4    -10.497492
        ...    
95   -15.625927
96   -16.664661
97   -16.664661
98   -12.405266
99   -10.258914
Length: 100, dtype: float64","0     -0.150030
1     -0.150030
2      0.964216
3     -1.098742
4     -2.525384
        ...    
95    -8.320484
96    -1.225724
97    -1.225724
98    -6.858231
99   -10.360642
Length: 100, dtype: float64","0    -0.005327
1    -0.005327
2     0.002663
3     1.368974
4     3.121473
        ...   
95   -0.458100
96   -1.459528
97   -1.459528
98    1.994866
99    3.952445
Length: 100, dtype: float64","0     0.050604
1     0.050604
2    -0.364882
3    -0.508704
4    -1.283746
        ...   
95    2.711313
96    0.436793
97    0.436793
98   -2.777898
99   -3.920484
Length: 100, dtype: float64","0     0.311615
1     0.311615
2    -0.772378
3     2.381055
4     4.823368
        ...   
95   -5.776855
96   -2.112054
97   -2.112054
98    4.738140
99    7.041957
Length: 100, dtype: float64",running
14,"0     -0.947424
1     -0.947424
2     14.539122
3     11.515778
4     11.515778
        ...    
95    13.239380
96    22.476469
97    15.254757
98     9.948937
99     9.948937
Length: 100, dtype: float64","0      0.572681
1      0.572681
2    -10.321303
3      0.644589
4      0.644589
        ...    
95    14.205988
96     9.933104
97   -10.657270
98   -19.105879
99   -19.105879
Length: 100, dtype: float64","0    -0.529822
1    -0.529822
2    -4.144042
3    -3.601519
4    -3.601519
        ...   
95   -7.278761
96   -4.231825
97   -4.759065
98   -0.845447
99   -0.845447
Length: 100, dtype: float64","0    -0.098545
1    -0.098545
2     2.138688
3     2.074767
4     2.074767
        ...   
95   -0.178446
96   -2.551511
97   -0.474080
98   -0.085228
99   -0.085228
Length: 100, dtype: float64","0     0.596595
1     0.596595
2    -1.259775
3    -0.982784
4    -0.982784
        ...   
95   -0.114525
96    1.302389
97    3.267958
98    0.633883
99    0.633883
Length: 100, dtype: float64","0      0.772378
1      0.772378
2      7.217740
3      6.834214
4      6.834214
        ...    
95     1.906975
96    -6.288223
97   -10.064885
98    -7.745087
99    -7.745087
Length: 100, dtype: float64",running
15,"0     -0.159076
1     -0.159076
2     -0.977703
3     -0.576725
4      2.436944
        ...    
95    14.563953
96    14.563953
97    14.034163
98     5.474637
99   -11.036574
Length: 100, dtype: float64","0      0.376722
1      0.376722
2      0.383495
3      0.821463
4      9.071632
        ...    
95     8.464108
96     8.464108
97    -9.976473
98   -15.475651
99   -15.857528
Length: 100, dtype: float64","0    -0.445368
1    -0.445368
2     1.695360
3     1.107902
4    -6.007636
        ...   
95   -5.081880
96   -5.081880
97   -0.401822
98   -1.281801
99    0.266970
Length: 100, dtype: float64","0    -0.029297
1    -0.029297
2    -0.255684
3    -0.122515
4    -4.474466
        ...   
95   -0.676497
96   -0.676497
97   -1.030725
98   -0.996101
99   -0.556645
Length: 100, dtype: float64","0     0.029297
1     0.029297
2     0.375536
3     0.769715
4     2.330451
        ...   
95   -0.026634
96   -0.026634
97    1.590033
98    1.022735
99   -1.153240
Length: 100, dtype: float64","0    -0.047941
1    -0.047941
2     0.516694
3     0.660516
4    -0.506041
        ...   
95    0.109198
96    0.109198
97   -7.585285
98   -8.775812
99   -3.816613
Length: 100, dtype: float64",running
16,"0      0.025666
1      0.025666
2     -2.468347
3     -2.468347
4     -1.667389
        ...    
95    20.630564
96    13.039371
97    14.457813
98    18.646042
99    13.830288
Length: 100, dtype: float64","0     -0.224999
1     -0.224999
2     -1.295023
3     -1.295023
4     -1.018761
        ...    
95    -3.528115
96    13.297016
97    13.515770
98     1.799305
99   -13.704772
Length: 100, dtype: float64","0    -0.288748
1    -0.288748
2     1.631979
3     1.631979
4    -0.330400
        ...   
95   -4.592120
96   -4.457524
97   -4.465556
98   -1.684586
99    1.707669
Length: 100, dtype: float64","0     0.042614
1     0.042614
2     0.386189
3     0.386189
4    -0.295634
        ...   
95    1.030725
96    1.568726
97   -1.779133
98   -1.395607
99    0.530011
Length: 100, dtype: float64","0    -0.023970
1    -0.023970
2    -0.247694
3    -0.247694
4     0.359555
        ...   
95   -3.102829
96   -1.590033
97    1.193191
98    1.629984
99    1.443548
Length: 100, dtype: float64","0     0.170456
1     0.170456
2    -0.327595
3    -0.327595
4     0.207743
        ...   
95    8.890338
96    3.398464
97   -0.700467
98   -5.814142
99   -9.138031
Length: 100, dtype: float64",running
17,"0      3.789469
1      3.789469
2      1.785949
3     15.736312
4     13.323074
        ...    
95    12.326108
96    14.296155
97     7.399585
98    -7.202089
99    -6.491145
Length: 100, dtype: float64","0     -1.353556
1     -1.353556
2    -10.694607
3    -10.508114
4     10.736507
        ...    
95    11.654915
96   -10.347430
97   -16.670801
98   -15.801685
99    -9.406509
Length: 100, dtype: float64","0    -0.685072
1    -0.685072
2    -4.465480
3    -6.611779
4    -6.909181
        ...   
95   -5.785815
96   -4.048079
97    2.256124
98    3.899713
99    2.291782
Length: 100, dtype: float64","0    -0.021307
1    -0.021307
2     2.753927
3     2.258540
4     2.817848
        ...   
95   -1.153240
96   -1.374300
97   -1.528776
98   -0.830972
99   -0.415486
Length: 100, dtype: float64","0    -0.159802
1    -0.159802
2    -0.820319
3    -1.345003
4    -0.953487
        ...   
95   -0.234377
96    3.323889
97    0.069248
98   -0.775041
99   -0.884240
Length: 100, dtype: float64","0     0.133169
1     0.133169
2     2.974987
3     7.188443
4     6.498629
        ...   
95    0.681823
96   -7.955494
97   -6.509283
98   -1.246458
99    3.643494
Length: 100, dtype: float64",running
18,"0      6.788207
1      6.788207
2     20.634491
3      9.372565
4     -4.625942
        ...    
95   -10.264936
96    -0.121548
97    13.202801
98    13.970690
99     9.770172
Length: 100, dtype: float64","0      0.070662
1      0.070662
2     -2.578527
3    -10.670878
4     -8.720537
        ...    
95    -8.420988
96    -8.738297
97    -5.857739
98     8.143393
99    13.433136
Length: 100, dtype: float64","0     1.072521
1     1.072521
2    -1.386437
3    -1.230399
4     2.377702
        ...   
95   -1.193961
96   -4.092732
97   -4.770319
98   -1.926777
99   -1.948766
Length: 100, dtype: float64","0     0.234377
1     0.234377
2    -5.337399
3    -2.599452
4    -0.538001
        ...   
95   -1.177211
96    0.884240
97    1.909638
98    1.025398
99   -0.087891
Length: 100, dtype: float64","0    -0.165129
1    -0.165129
2    -4.109584
3     0.362219
4     0.261010
        ...   
95   -0.170456
96   -3.052225
97   -3.009611
98   -0.516694
99    0.886903
Length: 100, dtype: float64","0    -0.069248
1    -0.069248
2    -0.980121
3    -3.837920
4    -1.552746
        ...   
95    2.149342
96    5.060408
97    5.760875
98    2.450303
99   -3.212027
Length: 100, dtype: float64",running
19,"0    -0.218596
1    -0.218596
2     0.388206
3     0.321093
4     0.651842
        ...   
95   -0.083509
96   -0.049762
97    3.126378
98    6.592820
99    6.592820
Length: 100, dtype: float64","0      0.191299
1      0.191299
2      0.221796
3      1.701039
4      3.584238
        ...    
95    -1.312711
96   -11.356872
97    -3.222565
98     3.808157
99     3.808157
Length: 100, dtype: float64","0    -0.228349
1    -0.228349
2     0.779480
3     0.953253
4    -1.319873
        ...   
95    0.834973
96   -0.531245
97   -0.613138
98   -4.424833
99   -4.424833
Length: 100, dtype: float64","0     0.042614
1     0.042614
2    -0.745744
3    -0.665843
4    -0.972131
        ...   
95   -0.833636
96    0.636546
97    0.447447
98    1.813757
99    1.813757
Length: 100, dtype: float64","0     0.055931
1     0.055931
2     0.482070
3     0.482070
4     0.625893
        ...   
95    0.173119
96   -0.306288
97   -1.992203
98   -1.203844
99   -1.203844
Length: 100, dtype: float64","0    -0.058594
1    -0.058594
2     0.356892
3     0.679160
4     0.583279
        ...   
95    1.374300
96    2.024163
97    5.590419
98    3.081522
99    3.081522
Length: 100, dtype: float64",running
20,"0    -0.294498
1    -0.294498
2    -0.050044
3    -0.178450
4    -0.199763
        ...   
95    1.166741
96   -0.745801
97   -1.244642
98   -0.574525
99   -0.231273
Length: 100, dtype: float64","0     0.540218
1     0.540218
2    -0.515245
3    -0.825130
4    -1.939472
        ...   
95   -0.898781
96   -2.696395
97   -3.453138
98   -2.647502
99   -0.896672
Length: 100, dtype: float64","0     0.218114
1     0.218114
2    -0.301108
3    -0.097557
4     0.129453
        ...   
95   -0.514016
96    0.234708
97    0.299555
98   -0.127122
99   -0.287932
Length: 100, dtype: float64","0    -0.045277
1    -0.045277
2     0.103872
3     0.029297
4     0.079901
        ...   
95   -1.321033
96   -0.434130
97    0.023970
98    0.253020
99    0.269001
Length: 100, dtype: float64","0    -0.002663
1    -0.002663
2    -0.183773
3    -0.199753
4    -0.402169
        ...   
95    0.857606
96    0.095881
97   -0.015980
98   -0.213070
99   -0.495387
Length: 100, dtype: float64","0     0.031960
1     0.031960
2     0.037287
3     0.237040
4     0.402169
        ...   
95   -1.582043
96   -0.644536
97   -0.157139
98    0.705794
99    1.323696
Length: 100, dtype: float64",walking
21,"0    -0.171905
1    -0.171905
2    -0.397472
3     0.148247
4     0.437436
        ...   
95    0.028986
96   -0.084752
97    1.777585
98    4.298786
99    3.329566
Length: 100, dtype: float64","0     0.206276
1     0.206276
2    -3.217950
3    -2.023047
4    -1.129752
        ...   
95    4.018091
96    1.625796
97    0.365462
98    0.158983
99    3.025215
Length: 100, dtype: float64","0    -0.308410
1    -0.308410
2    -0.035401
3    -0.087897
4    -0.360396
        ...   
95   -0.439168
96   -3.531487
97   -5.659117
98   -3.300055
99   -2.039649
Length: 100, dtype: float64","0    -0.189099
1    -0.189099
2     0.857606
3     0.665843
4     0.889566
        ...   
95    1.512796
96    2.961670
97    7.063264
98    6.064499
99    2.341105
Length: 100, dtype: float64","0     0.079901
1     0.079901
2     0.135832
3    -0.175783
4    -0.383526
        ...   
95   -0.295634
96   -0.540665
97   -1.651291
98   -2.583471
99   -2.170649
Length: 100, dtype: float64","0     0.055931
1     0.055931
2     0.391516
3     0.998765
4     1.350330
        ...   
95   -1.030725
96   -1.422241
97   -1.153240
98    1.435558
99    2.884433
Length: 100, dtype: float64",walking
22,"0     0.175924
1     0.175924
2     0.194403
3     0.775387
4     1.785844
        ...   
95    1.056881
96    0.451983
97    0.451983
98   -0.372640
99   -0.740874
Length: 100, dtype: float64","0     0.548757
1     0.548757
2    -3.699192
3    -3.445283
4    -1.720403
        ...   
95   -1.082617
96   -2.278377
97   -2.278377
98   -2.929051
99   -2.741558
Length: 100, dtype: float64","0    -1.191314
1    -1.191314
2    -0.554051
3    -1.413800
4    -1.099988
        ...   
95   -0.558303
96   -0.210974
97   -0.210974
98    0.724428
99   -0.006780
Length: 100, dtype: float64","0     0.039951
1     0.039951
2     0.042614
3     0.820319
4     1.427568
        ...   
95   -1.142587
96   -0.700467
97   -0.700467
98   -0.319605
99    0.000000
Length: 100, dtype: float64","0     0.263674
1     0.263674
2    -0.178446
3    -0.327595
4    -0.743081
        ...   
95    0.689814
96    0.274327
97    0.274327
98    0.034624
99   -0.023970
Length: 100, dtype: float64","0     0.937507
1     0.937507
2     0.071911
3     0.351565
4     1.052032
        ...   
95   -1.760489
96   -1.456865
97   -1.456865
98   -0.868259
99    0.431466
Length: 100, dtype: float64",walking
23,"0    -0.553932
1    -0.553932
2    -0.365959
3    -0.096493
4    -1.030899
        ...   
95    1.693106
96   -0.844385
97   -0.090150
98   -0.090150
99   -1.300555
Length: 100, dtype: float64","0     0.176663
1     0.176663
2     0.854647
3     0.222450
4    -2.157695
        ...   
95   -0.100360
96   -0.705734
97   -0.967971
98   -0.967971
99   -2.231219
Length: 100, dtype: float64","0    -0.357691
1    -0.357691
2     0.476774
3     1.119257
4     1.026206
        ...   
95   -3.867061
96   -3.654536
97   -2.049444
98   -2.049444
99   -0.132075
Length: 100, dtype: float64","0     0.021307
1     0.021307
2    -0.170456
3    -0.103872
4    -0.101208
        ...   
95   -3.835257
96   -3.220017
97   -1.741846
98   -1.741846
99   -1.483499
Length: 100, dtype: float64","0     0.111862
1     0.111862
2    -0.066584
3    -0.130505
4    -0.053267
        ...   
95    1.773806
96    1.432895
97    0.852279
98    0.852279
99    0.122515
Length: 100, dtype: float64","0    -0.090555
1    -0.090555
2    -0.039951
3    -0.215733
4    -0.197090
        ...   
95   -0.918864
96   -0.649863
97   -0.836299
98   -0.836299
99   -0.314278
Length: 100, dtype: float64",walking
24,"0     0.383922
1     0.383922
2    -0.272575
3    -0.952556
4     0.053102
        ...   
95    0.977137
96    1.237227
97    1.805961
98    0.933664
99   -0.480025
Length: 100, dtype: float64","0     0.302612
1     0.302612
2    -1.381236
3    -2.173403
4    -2.748573
        ...   
95    3.077244
96    0.835341
97   -0.905319
98   -2.448629
99   -3.909822
Length: 100, dtype: float64","0    -0.398075
1    -0.398075
2    -0.681258
3    -0.849749
4    -0.581873
        ...   
95   -0.345905
96   -0.099797
97    0.299707
98   -0.367835
99   -0.742899
Length: 100, dtype: float64","0     0.071911
1     0.071911
2    -0.761725
3     0.149149
4     0.402169
        ...   
95    0.055931
96    0.343575
97   -0.207743
98   -1.321033
99   -1.161230
Length: 100, dtype: float64","0     0.175783
1     0.175783
2    -0.114525
3    -0.031960
4     0.077238
        ...   
95   -0.468754
96    0.018644
97   -0.109198
98    0.468754
99    0.553982
Length: 100, dtype: float64","0    -0.087891
1    -0.087891
2    -0.503377
3    -0.322268
4     0.018644
        ...   
95   -1.257112
96   -1.749836
97   -1.970896
98   -1.579380
99   -1.052032
Length: 100, dtype: float64",walking
25,"0    -0.044205
1    -0.044205
2    -0.878387
3    -0.277706
4    -0.277706
        ...   
95    0.172792
96    0.172792
97    1.100239
98    1.100239
99    0.746698
Length: 100, dtype: float64","0    -0.496912
1    -0.496912
2    -1.725143
3    -1.109380
4    -1.109380
        ...   
95    0.371542
96    0.371542
97    3.486789
98    3.486789
99    3.932243
Length: 100, dtype: float64","0    -0.428723
1    -0.428723
2     1.558894
3     1.330424
4     1.330424
        ...   
95   -0.467248
96   -0.467248
97   -0.983732
98   -0.983732
99   -1.115985
Length: 100, dtype: float64","0     0.620566
1     0.620566
2     0.082565
3    -0.143822
4    -0.143822
        ...   
95    0.410159
96    0.410159
97    0.095881
98    0.095881
99   -0.111862
Length: 100, dtype: float64","0     0.229050
1     0.229050
2     0.098545
3     0.023970
4     0.023970
        ...   
95    0.402169
96    0.402169
97    0.295634
98    0.295634
99    0.386189
Length: 100, dtype: float64","0     0.649863
1     0.649863
2    -0.191763
3    -0.215733
4    -0.215733
        ...   
95    1.526112
96    1.526112
97    1.036052
98    1.036052
99    0.250357
Length: 100, dtype: float64",walking
26,"0    -0.098166
1    -0.098166
2    -0.665304
3    -0.829981
4     0.375669
        ...   
95    0.899618
96    2.569855
97    0.244803
98    0.057337
99    0.702704
Length: 100, dtype: float64","0    -0.117578
1    -0.117578
2    -1.194660
3    -1.562937
4    -1.692123
        ...   
95    0.134287
96   -0.233453
97    3.357724
98    2.712044
99    1.742193
Length: 100, dtype: float64","0    -0.401143
1    -0.401143
2     1.228442
3     0.564813
4     0.803057
        ...   
95   -0.552232
96   -2.105740
97   -0.641299
98   -0.459209
99   -0.320672
Length: 100, dtype: float64","0    -0.061258
1    -0.061258
2    -0.567298
3    -0.215733
4     0.303624
        ...   
95    1.222488
96    1.867024
97    2.026827
98    1.049369
99    1.523449
Length: 100, dtype: float64","0     0.090555
1     0.090555
2     0.029297
3    -0.047941
4    -0.021307
        ...   
95   -0.447447
96   -0.804339
97   -0.681823
98   -0.479407
99   -0.426140
Length: 100, dtype: float64","0     0.018644
1     0.018644
2    -0.005327
3     0.082565
4     0.306288
        ...   
95    1.579380
96    2.005520
97    1.880341
98    1.334350
99    0.386189
Length: 100, dtype: float64",walking
27,"0    -0.188742
1    -0.188742
2    -1.077880
3    -0.476925
4    -0.490263
        ...   
95    1.877475
96   -0.167781
97   -0.167781
98    2.186709
99    2.186709
Length: 100, dtype: float64","0    -0.317179
1    -0.317179
2     0.424980
3     1.524290
4    -0.729589
        ...   
95    3.103000
96    5.491823
97    5.491823
98    5.081151
99    5.081151
Length: 100, dtype: float64","0    -0.332557
1    -0.332557
2    -0.283946
3    -0.538739
4     0.669691
        ...   
95   -1.344540
96   -1.554618
97   -1.554618
98   -0.027180
99   -0.027180
Length: 100, dtype: float64","0    -0.122515
1    -0.122515
2    -0.364882
3     0.194426
4    -0.095881
        ...   
95    1.629984
96   -0.314278
97   -0.314278
98    0.023970
99    0.023970
Length: 100, dtype: float64","0    -0.106535
1    -0.106535
2     0.426140
3     0.300961
4    -0.290308
        ...   
95    0.015980
96    0.223723
97    0.223723
98   -0.071911
99   -0.071911
Length: 100, dtype: float64","0    -0.093218
1    -0.093218
2     0.002663
3    -0.042614
4     0.039951
        ...   
95    2.093411
96    1.459528
97    1.459528
98   -1.486162
99   -1.486162
Length: 100, dtype: float64",walking
28,"0     0.369660
1     0.369660
2    -0.635316
3    -0.772483
4     1.211384
        ...   
95   -0.326471
96    1.165030
97    2.047643
98    2.302927
99    2.302927
Length: 100, dtype: float64","0    -0.645952
1    -0.645952
2    -4.169368
3    -3.973159
4    -0.904389
        ...   
95   -2.722319
96   -1.216883
97    0.784374
98    2.438683
99    2.438683
Length: 100, dtype: float64","0     0.063500
1     0.063500
2    -0.315898
3    -0.903178
4    -1.075068
        ...   
95   -0.300487
96   -0.405751
97   -0.768794
98   -1.096267
99   -1.096267
Length: 100, dtype: float64","0    -0.101208
1    -0.101208
2     0.122515
3     0.226387
4     0.974794
        ...   
95    0.181109
96    0.687150
97    1.227815
98    1.459528
99    1.459528
Length: 100, dtype: float64","0    -0.029297
1    -0.029297
2    -0.205080
3    -0.324931
4    -0.633883
        ...   
95   -0.119852
96   -0.402169
97   -0.330258
98   -0.271664
99   -0.271664
Length: 100, dtype: float64","0     0.045277
1     0.045277
2     0.197090
3     0.841626
4     1.451538
        ...   
95    0.828309
96    1.270429
97    1.781796
98    1.890995
99    1.890995
Length: 100, dtype: float64",walking
29,"0     0.204922
1     0.204922
2    -0.488384
3    -0.306519
4    -0.099125
        ...   
95   -0.498329
96   -0.603204
97   -0.603204
98    2.666591
99    2.666591
Length: 100, dtype: float64","0     2.014985
1     2.014985
2     0.095877
3    -2.172097
4    -2.390191
        ...   
95   -4.158014
96   -2.542219
97   -2.542219
98    0.564482
99    0.564482
Length: 100, dtype: float64","0     0.070974
1     0.070974
2     0.354250
3     0.387071
4     0.368265
        ...   
95    0.367442
96   -0.244440
97   -0.244440
98   -0.843424
99   -0.843424
Length: 100, dtype: float64","0     1.486162
1     1.486162
2    -0.221060
3     0.071911
4     0.593932
        ...   
95    0.018644
96    0.125179
97    0.125179
98    0.767051
99    0.767051
Length: 100, dtype: float64","0    -0.628556
1    -0.628556
2    -0.034624
3    -0.205080
4    -0.245030
        ...   
95    0.082565
96   -0.284981
97   -0.284981
98   -0.841626
99   -0.841626
Length: 100, dtype: float64","0     0.993438
1     0.993438
2     0.199753
3     0.119852
4     0.639209
        ...   
95    0.095881
96    1.342340
97    1.342340
98    2.572818
99    2.572818
Length: 100, dtype: float64",walking
30,"0    -0.623875
1    -0.623875
2    -1.081529
3    -0.572358
4    -0.098315
        ...   
95    1.380024
96    0.950664
97    0.480005
98    0.543524
99    1.573945
Length: 100, dtype: float64","0    -2.123436
1    -2.123436
2    -0.121519
3    -1.054626
4    -0.814075
        ...   
95   -1.309572
96   -1.586242
97   -1.421687
98   -1.245629
99   -0.800864
Length: 100, dtype: float64","0    -0.513654
1    -0.513654
2     0.809464
3     0.844101
4     0.454211
        ...   
95   -1.104551
96   -0.574103
97   -0.235106
98   -0.732116
99    0.614461
Length: 100, dtype: float64","0    -0.143822
1    -0.143822
2    -1.081329
3    -0.482070
4    -0.607249
        ...   
95   -0.095881
96   -0.114525
97   -0.191763
98   -0.234377
99    0.287644
Length: 100, dtype: float64","0     0.058594
1     0.058594
2    -0.127842
3     0.135832
4    -0.143822
        ...   
95   -0.324931
96   -0.253020
97   -0.053267
98    0.000000
99   -0.239704
Length: 100, dtype: float64","0     1.086656
1     1.086656
2     0.066584
3     0.282318
4     0.577952
        ...   
95    0.284981
96    0.135832
97    0.146486
98    0.133169
99    0.282318
Length: 100, dtype: float64",badminton
31,"0     0.036607
1     0.036607
2     0.265778
3    -1.343494
4    -1.699842
        ...   
95    0.702924
96    0.278856
97    3.270604
98    4.255301
99    4.679290
Length: 100, dtype: float64","0     0.341686
1     0.341686
2    -0.164943
3     1.139656
4     0.966420
        ...   
95   -7.241390
96   -6.714019
97   -2.669458
98    4.115016
99    7.836758
Length: 100, dtype: float64","0    -0.694948
1    -0.694948
2    -0.635560
3     0.276055
4    -0.191355
        ...   
95   -0.410993
96   -2.344689
97   -1.853229
98   -0.985646
99   -1.742621
Length: 100, dtype: float64","0    -0.253020
1    -0.253020
2    -0.354229
3     0.247694
4    -0.705794
        ...   
95   -0.362219
96    0.490061
97    2.005520
98    1.483499
99    2.753927
Length: 100, dtype: float64","0    -0.082565
1    -0.082565
2    -0.516694
3    -0.559308
4    -0.684487
        ...   
95   -0.165129
96   -0.889566
97   -1.789786
98   -0.857606
99   -0.663180
Length: 100, dtype: float64","0    -0.090555
1    -0.090555
2     1.470182
3     1.001428
4     0.687150
        ...   
95    1.041379
96    2.061450
97    3.233334
98    2.743274
99    1.424904
Length: 100, dtype: float64",badminton
